InvoiceID,CustomerID,Product,Quantity,Price,InvoiceDate,Country
INV-100028,58652,Casual Sneakers,7,93.59,2024-05-26 09:09:52.641727,United Kingdom
INV-100029,20843,Laptop,2,889.39,2026-01-19 00:53:48.641727,Canada
INV-100030,74652,Wireless Mouse,6,45.15,2025-06-18 15:57:10.641727,Spain
INV-100031,15279,Sports Watch,2,364.91,2025-03-25 22:42:40.641727,United Kingdom
INV-100032,99168,T-Shirt,5,12.14,2026-02-07 06:46:24.641727,Netherlands
INV-100033,24076,T-Shirt,1,16.6,2025-01-15 16:37:06.641727,Italy
INV-100034,,Jeans,3,85.75,2025-01-24 09:10:40.641727,United Kingdom
INV-100035,84095,Casual Sneakers,5,93.03,2025-01-31 22:35:29.641727,Germany
INV-100036,56263,Casual Sneakers,5,95.52,2025-07-26 15:20:01.641727,France
INV-100037,76945,Jacket,7,175.59,2025-12-17 04:26:04.641727,Germany
INV-100038,73327,Formal Shirt,6,54.67,2025-05-08 08:27:02.641727,Australia
INV-100039,95388,Smartphone,4,316.1,2024-10-29 20:38:19.641727,United Kingdom
INV-100040,51755,Jeans,3,81.28,2026-01-17 05:01:55.641727,Canada
INV-100041,98106,Coffee Maker,2,168.43,2025-06-18 22:04:14.641727,Canada
INV-100042,56508,Laptop,7,606.55,2025-12-06 07:54:20.641727,Germany
INV-100043,90394,T-Shirt,5,11.27,2025-02-17 05:58:34.641727,France
INV-100044,75936,Coffee Maker,7,135.3,2024-08-31 05:03:41.641727,United Kingdom
INV-100045,21963,Coffee Maker,4,120.67,2026-02-26 04:02:39.641727,United Kingdom
INV-100046,67926,Jeans,4,51.78,2025-08-15 07:01:47.641727,France
INV-100047,89053,T-Shirt,6,22.56,2024-11-18 08:45:01.641727,United States
INV-100048,21553,Laptop,6,1906.68,2025-12-17 08:43:49.641727,Canada
INV-100049,85476,Casual Sneakers,2,92.93,2024-04-14 07:25:32.641727,Netherlands
INV-100050,19489,Formal Shirt,4,28.41,2026-02-15 18:26:38.641727,United Kingdom
INV-100051,88396,Running Shoes,2,66.18,2025-06-04 01:58:50.641727,United States
INV-100052,81000,Wireless Mouse,6,35.26,2025-06-12 07:59:53.641727,Australia
INV-100053,23651,Smartphone,1,1126.74,2024-04-17 10:58:23.641727,United States
INV-100054,75380,Laptop,6,1615.56,2024-08-14 02:26:22.641727,Italy
INV-100055,20511,Wireless Mouse,7,30.99,2025-09-15 17:39:56.641727,United Kingdom
INV-100056,61122,Jeans,1,88.61,2025-05-20 04:42:02.641727,India
INV-100057,93141,Bluetooth Headphones,5,83.58,2024-07-09 21:03:44.641727,Germany
INV-100058,28536,Casual Sneakers,1,93.37,2025-08-06 17:37:25.641727,France
INV-100059,25644,Casual Sneakers,3,56.07,2025-10-04 13:47:29.641727,France
INV-100060,48058,Smartphone,3,950.53,2024-10-23 14:28:59.641727,United States
INV-100061,43175,Jacket,4,172.05,2025-08-23 22:10:16.641727,Italy
INV-100062,14362,Bluetooth Headphones,7,134.28,2026-03-18 23:27:38.641727,United Kingdom
INV-100063,51038,Wireless Mouse,4,29.24,2025-03-25 21:05:07.641727,United Kingdom
INV-100064,33359,Smartphone,3,664.25,2024-09-22 02:16:14.641727,United Kingdom
INV-100065,21199,Bluetooth Headphones,1,56.04,2026-03-10 21:39:03.641727,Netherlands
INV-100066,34842,Bluetooth Headphones,7,155.56,2026-02-01 23:22:15.641727,Australia
INV-100067,11857,T-Shirt,3,10.32,2025-03-07 04:25:17.641727,United Kingdom
INV-100068,92352,Running Shoes,4,136.13,2025-02-12 01:38:29.641727,Australia
INV-100069,99467,Jeans,1,74.37,2025-12-07 10:40:53.641727,Canada
INV-100070,43085,Formal Shirt,3,29.46,2024-04-08 02:11:01.641727,United Kingdom
INV-100071,88898,Jeans,4,50.57,2024-11-21 16:01:52.641727,United Kingdom
INV-100072,51520,Backpack,7,21.11,2025-05-09 06:53:57.641727,United States
INV-100073,92109,Formal Shirt,3,53.4,2025-07-29 03:20:36.641727,United Kingdom
INV-100074,25581,Running Shoes,4,179.37,2025-07-10 08:02:35.641727,Italy
INV-100075,35610,T-Shirt,7,19.61,2025-01-03 04:14:52.641727,France
INV-100076,76583,T-Shirt,3,34.73,2026-01-02 07:43:14.641727,Germany
INV-100077,29808,Smartphone,3,369.91,2025-07-25 22:00:10.641727,Italy
INV-100078,84117,Bluetooth Headphones,1,84.06,2025-05-07 07:08:33.641727,United States
INV-100079,48327,Wireless Mouse,7,59.8,2026-02-21 21:56:34.641727,Australia
INV-100080,46350,Smartphone,1,1082.86,2024-06-15 09:37:17.641727,Spain
INV-100081,50798,Jeans,2,47.65,2025-09-07 20:31:16.641727,United States
INV-100082,81807,Coffee Maker,1,131.79,2026-02-13 06:14:53.641727,France
INV-100083,10503,Casual Sneakers,5,129.19,2025-08-03 19:39:09.641727,United States
INV-100084,77561,Running Shoes,3,150.86,2025-05-25 09:29:26.641727,India
INV-100085,80132,Running Shoes,5,133.56,2024-12-29 16:52:57.641727,Germany
INV-100086,83902,Laptop,5,805.15,2024-10-22 21:42:04.641727,Australia
INV-100087,99699,Jeans,-2,30.11,2025-05-11 04:25:35.641727,India
INV-100088,80402,Casual Sneakers,3,103.39,2026-01-23 20:28:39.641727,France
INV-100089,57581,Jacket,1,140.04,2025-03-11 02:26:05.641727,Italy
INV-100090,51950,Casual Sneakers,1,67.61,2024-07-04 22:52:43.641727,Netherlands
INV-100091,44942,Laptop,4,1085.54,2025-03-26 17:31:00.641727,United Kingdom
INV-100092,84442,Jeans,2,52.45,2024-06-17 20:22:26.641727,India
INV-100093,45347,Jeans,1,59.69,2026-02-20 00:51:19.641727,Germany
INV-100094,61537,T-Shirt,3,18.54,2025-05-03 05:50:02.641727,Australia
INV-100095,18646,Smartphone,4,617.93,2024-09-10 19:43:34.641727,Spain
INV-100096,38558,T-Shirt,7,11.12,2025-07-07 20:26:47.641727,United Kingdom
INV-100097,33954,Running Shoes,5,163.2,2025-05-05 06:09:12.641727,Germany
INV-100098,49151,Casual Sneakers,3,102.87,2025-04-15 16:28:45.641727,United Kingdom
INV-100099,,Sports Watch,4,134.06,2025-06-13 20:06:39.641727,United Kingdom
INV-100100,74483,Sunglasses,1,59.51,2026-02-14 20:24:55.641727,Italy
INV-100101,48865,Laptop,3,1333.43,2025-12-23 13:46:11.641727,United Kingdom
INV-100102,23529,Formal Shirt,5,56.04,2024-10-16 13:05:44.641727,India
INV-100103,59052,Sports Watch,1,305.28,2024-09-29 17:08:13.641727,Germany
INV-100104,14921,Wireless Mouse,7,46.2,2026-03-31 13:23:35.641727,Germany
INV-100105,86415,Laptop,4,1895.81,2025-07-22 10:48:53.641727,United States
INV-100106,79350,Jeans,6,32.23,2024-04-21 19:28:30.641727,United Kingdom
INV-100107,30271,T-Shirt,2,16.23,2025-04-29 06:58:22.641727,Netherlands
INV-100108,33691,Running Shoes,6,57.17,2024-07-03 05:11:25.641727,United States
INV-100109,12489,Sunglasses,3,62.74,2024-04-29 10:58:00.641727,Netherlands
INV-100110,42796,Jeans,7,55.06,2024-08-21 05:31:24.641727,France
INV-100111,13440,Formal Shirt,4,64.06,2024-10-10 13:19:29.641727,United States
INV-100112,94270,T-Shirt,5,12.51,2024-06-04 18:38:29.641727,Germany
INV-100113,22075,Bluetooth Headphones,2,113.94,2025-12-08 14:40:47.641727,United States
INV-100114,69342,Casual Sneakers,7,74.14,2025-02-21 14:03:06.641727,United States
INV-100115,61342,Backpack,2,45.5,2025-05-15 14:06:35.641727,Italy
INV-100116,31317,Wireless Mouse,1,50.12,2025-12-30 09:47:42.641727,United Kingdom
INV-100117,82735,Laptop,4,643.1,2025-12-09 19:03:39.641727,United States
INV-100118,19798,Jeans,6,48.99,2025-11-27 20:10:41.641727,France
INV-100119,89811,Smartphone,7,621.76,2024-08-28 23:34:32.641727,Germany
INV-100120,76630,Bluetooth Headphones,6,124.47,2025-10-03 08:36:53.641727,India
INV-100121,67159,Smartphone,4,439.26,2026-04-04 13:19:12.641727,Canada
INV-100122,89168,Running Shoes,7,173.43,2024-04-13 02:17:14.641727,Italy
INV-100123,46282,Jeans,4,94.84,2026-01-01 09:36:20.641727,France
INV-100124,35347,Running Shoes,4,157.36,2025-12-30 15:38:39.641727,Germany
INV-100125,23906,Jacket,2,107.95,2025-12-12 20:50:09.641727,United Kingdom
INV-100126,93192,T-Shirt,6,25.92,2025-01-22 03:08:19.641727,Canada
INV-100127,46127,Casual Sneakers,3,52.9,2024-08-30 21:50:09.641727,Germany
INV-100128,84644,Casual Sneakers,2,127.77,2025-09-23 18:46:05.641727,United States
INV-100129,39917,Bluetooth Headphones,3,99.5,2025-07-06 12:26:47.641727,Netherlands
INV-100130,95948,Casual Sneakers,5,61.76,2025-09-20 08:05:24.641727,Italy
INV-100131,88301,Sunglasses,2,49.38,2024-10-11 12:31:28.641727,France
INV-100132,37723,Bluetooth Headphones,3,135.09,2024-08-15 06:38:35.641727,United Kingdom
INV-100133,53804,T-Shirt,3,31.5,2026-01-25 20:14:27.641727,India
INV-100134,81458,Bluetooth Headphones,-3,99.96,2025-04-18 22:11:32.641727,United Kingdom
INV-100135,30357,Running Shoes,5,115.04,2025-12-20 03:23:10.641727,India
INV-100136,12131,Sports Watch,5,357.77,2026-02-12 19:09:54.641727,Germany
INV-100137,35991,Jacket,1,192.19,2025-03-08 22:59:39.641727,India
INV-100138,63152,Wireless Mouse,3,52.54,2024-10-16 17:05:12.641727,India
INV-100139,22282,Running Shoes,5,103.05,2026-01-21 15:47:36.641727,Germany
INV-100140,40004,Jacket,2,162.71,2025-09-11 15:45:45.641727,Canada
INV-100141,92671,Jacket,1,197.18,2025-08-06 20:32:31.641727,United Kingdom
INV-100142,16756,Sports Watch,3,136.15,2026-03-08 01:31:44.641727,United Kingdom
INV-100143,14531,Bluetooth Headphones,5,83.52,2024-10-04 11:10:33.641727,United States
INV-100144,48146,Jacket,5,69.06,2024-12-26 22:43:58.641727,Netherlands
INV-100145,11156,Formal Shirt,1,44.53,2024-05-06 04:00:29.641727,United Kingdom
INV-100146,12503,T-Shirt,5,28.85,2025-01-15 15:49:00.641727,France
INV-100147,,Jacket,2,91.52,2025-02-27 15:32:54.641727,India
INV-100148,19202,Jeans,6,62.93,2025-03-04 01:22:11.641727,Australia
INV-100149,82977,Running Shoes,4,59.57,2024-07-26 20:15:59.641727,United States
INV-100150,21043,Coffee Maker,1,164.65,2025-11-19 06:50:32.641727,France
INV-100151,57111,Backpack,3,77.04,2025-03-30 20:31:17.641727,United Kingdom
INV-100152,,Casual Sneakers,6,94.82,2025-02-22 08:44:34.641727,United States
INV-100153,66325,Bluetooth Headphones,4,123.22,2025-12-29 08:33:46.641727,India
INV-100154,68847,Casual Sneakers,5,54.87,2025-03-28 15:30:13.641727,India
INV-100155,42195,Smartphone,6,1052.95,2026-01-18 23:02:23.641727,United States
INV-100156,89995,T-Shirt,1,27.31,2024-09-16 23:28:37.641727,United States
INV-100157,16180,Smartphone,7,363.97,2025-12-19 15:43:26.641727,Germany
INV-100158,19658,Laptop,3,2461.38,2026-03-30 04:16:48.641727,Germany
INV-100159,87053,Wireless Mouse,6,13.19,2025-10-07 12:33:51.641727,United Kingdom
INV-100160,16151,Casual Sneakers,4,104.71,2026-01-19 02:31:10.641727,United Kingdom
INV-100161,27270,Sunglasses,5,33.03,2025-09-30 00:17:30.641727,Germany
INV-100162,25585,Formal Shirt,-1,63.16,2025-06-19 20:55:49.641727,United States
INV-100163,12975,Running Shoes,6,63.8,2025-10-17 05:48:00.641727,Canada
INV-100164,20530,Bluetooth Headphones,1,45.14,2026-03-09 21:29:13.641727,Italy
INV-100165,61542,T-Shirt,7,20.59,2025-06-23 08:39:55.641727,France
INV-100166,69507,Coffee Maker,2,179.1,2025-08-22 04:40:32.641727,Germany
INV-100167,17495,Coffee Maker,7,71.48,2024-06-04 12:02:10.641727,Canada
INV-100168,94813,T-Shirt,1,24.54,2026-03-08 20:00:19.641727,United Kingdom
INV-100169,18618,Sports Watch,1,271.88,2025-10-27 10:11:48.641727,Australia
INV-100170,71830,T-Shirt,1,30.74,2024-08-03 14:34:59.641727,United Kingdom
INV-100171,82033,Jacket,4,106.17,2024-11-05 03:58:03.641727,India
INV-100172,56869,Formal Shirt,2,53.3,2024-09-19 06:29:18.641727,United Kingdom
INV-100173,54244,Sports Watch,5,431.73,2024-11-27 00:04:19.641727,Canada
INV-100174,19815,Casual Sneakers,6,76.6,2026-01-13 20:52:17.641727,United Kingdom
INV-100175,31735,Running Shoes,1,109.93,2025-03-12 13:49:01.641727,Canada
INV-100176,86551,Jeans,4,87.22,2025-02-08 04:40:26.641727,Netherlands
INV-100177,41376,Desk Lamp,6,36.95,2025-10-28 08:07:13.641727,United Kingdom
INV-100178,13100,Backpack,3,45.41,2025-01-03 15:09:27.641727,Canada
INV-100179,75630,Wireless Mouse,7,28.12,2026-01-14 08:13:49.641727,United Kingdom
INV-100180,71528,Backpack,5,76.29,2025-10-10 08:25:48.641727,France
INV-100181,15971,Backpack,1,84.99,2024-10-12 07:17:05.641727,United States
INV-100182,14596,Jacket,4,160.98,2025-07-11 19:46:49.641727,Italy
INV-100183,20483,T-Shirt,3,24.84,2025-03-26 01:31:56.641727,Australia
INV-100184,14581,Wireless Mouse,1,32.67,2024-12-14 20:36:32.641727,Germany
INV-100185,65462,Smartphone,7,261.86,2026-01-29 06:58:35.641727,Italy
INV-100186,21935,T-Shirt,2,12.7,2025-01-23 02:59:31.641727,India
INV-100187,64626,Running Shoes,1,73.43,2024-07-01 21:35:49.641727,Spain
INV-100188,25852,Wireless Mouse,2,18.14,2025-01-30 19:21:29.641727,United States
INV-100189,97520,Formal Shirt,6,59.24,2025-04-19 22:40:21.641727,Germany
INV-100190,75332,Sports Watch,5,130.45,2024-07-08 21:47:58.641727,United States
INV-100191,43709,Formal Shirt,6,25.14,2025-10-01 20:42:11.641727,Germany
INV-100192,48583,Casual Sneakers,4,81.35,2024-09-22 06:15:34.641727,United States
INV-100193,15856,Coffee Maker,1,67.35,2024-06-14 03:44:42.641727,Canada
INV-100194,14939,Casual Sneakers,3,58.86,2025-05-05 02:00:18.641727,Netherlands
INV-100195,58377,Casual Sneakers,2,58.88,2024-08-03 04:37:35.641727,Netherlands
INV-100196,,Bluetooth Headphones,4,67.03,2025-10-30 10:05:11.641727,United Kingdom
INV-100197,67450,Backpack,2,56.65,2024-05-27 15:01:22.641727,United Kingdom
INV-100198,44418,Formal Shirt,7,65.49,2025-02-07 14:12:02.641727,Canada
INV-100199,22564,T-Shirt,3,31.02,2024-05-15 10:54:30.641727,France
INV-100200,58211,Wireless Mouse,3,51.83,2025-01-12 12:48:56.641727,India
INV-100201,,Desk Lamp,7,53.81,2026-02-17 23:39:02.641727,France
INV-100202,77166,Jacket,4,205.22,2025-07-26 13:31:03.641727,United States
INV-100203,27798,Casual Sneakers,2,94.37,2025-05-03 08:18:26.641727,Spain
INV-100204,59263,Running Shoes,4,134.17,2024-07-31 11:33:44.641727,Spain
INV-100205,86024,Formal Shirt,2,44.7,2024-11-22 01:34:40.641727,United Kingdom
INV-100206,34298,Casual Sneakers,6,76.1,2025-01-10 15:13:13.641727,Spain
INV-100207,85163,Smartphone,5,565.13,2025-06-04 01:54:03.641727,United States
INV-100208,75100,Casual Sneakers,6,59.09,2024-09-06 15:01:17.641727,United States
INV-100209,48666,Jacket,7,187.46,2026-04-07 15:32:21.641727,United Kingdom
INV-100210,89486,Laptop,6,610.74,2025-07-27 09:19:00.641727,Netherlands
INV-100211,97005,Bluetooth Headphones,3,119.34,2024-11-21 07:21:42.641727,Italy
INV-100212,31316,Formal Shirt,2,71.87,2024-06-28 17:05:32.641727,United States
INV-100213,98178,Coffee Maker,4,104.61,2025-06-16 00:52:33.641727,Canada
INV-100214,10217,Laptop,4,640.4,2025-02-28 14:19:49.641727,Italy
INV-100215,21632,Wireless Mouse,3,34.71,2025-08-12 15:11:42.641727,Germany
INV-100216,13885,Casual Sneakers,6,77.61,2025-06-16 21:35:03.641727,United Kingdom
INV-100217,,Casual Sneakers,7,138.63,2025-07-19 03:33:04.641727,United States
INV-100218,94327,Sunglasses,3,87.58,2025-12-07 06:28:06.641727,United Kingdom
INV-100219,64028,Jeans,5,75.5,2025-04-26 01:34:20.641727,India
INV-100220,65491,T-Shirt,7,21.93,2025-09-18 14:36:47.641727,Canada
INV-100221,17635,Jacket,1,173.51,2024-12-25 18:42:11.641727,United Kingdom
INV-100222,56450,Smartphone,3,936.44,2026-02-24 23:26:11.641727,France
INV-100223,44438,Sports Watch,6,104.55,2025-01-30 12:06:24.641727,United States
INV-100224,53147,T-Shirt,4,14.01,2025-08-16 23:56:39.641727,United Kingdom
INV-100225,33505,Sunglasses,6,16.36,2026-04-06 13:21:57.641727,United States
INV-100226,28140,Running Shoes,4,118.73,2024-12-18 14:16:37.641727,United Kingdom
INV-100227,95683,Bluetooth Headphones,1,144.47,2024-06-20 20:18:35.641727,United States
INV-100228,60256,Smartphone,4,829.08,2024-09-23 20:16:37.641727,United States
INV-100229,47042,Casual Sneakers,3,92.52,2024-10-02 15:40:24.641727,Germany
INV-100230,16642,Casual Sneakers,6,132.97,2024-05-18 23:47:54.641727,Germany
INV-100231,78639,Jeans,2,37.06,2025-05-09 17:25:27.641727,France
INV-100232,52531,Sports Watch,2,107.6,2024-10-27 07:48:35.641727,United States
INV-100233,44803,Bluetooth Headphones,1,149.66,2024-06-17 12:57:48.641727,France
INV-100234,70024,Sports Watch,4,414.03,2024-07-16 14:03:49.641727,Germany
INV-100235,21862,Coffee Maker,7,132.45,2024-10-24 06:18:39.641727,India
INV-100236,57987,Jeans,5,42.22,2025-01-02 05:17:34.641727,United Kingdom
INV-100237,87682,Wireless Mouse,6,63.4,2026-03-20 01:16:07.641727,Netherlands
INV-100238,51757,Running Shoes,6,150.67,2025-09-02 13:38:37.641727,United Kingdom
INV-100239,10037,Casual Sneakers,5,109.02,2025-09-11 10:36:39.641727,United States
INV-100240,30692,Coffee Maker,5,63.44,2025-08-25 20:54:38.641727,France
INV-100241,15034,Coffee Maker,2,106.96,2025-11-15 00:59:01.641727,Italy
INV-100242,55016,Formal Shirt,7,69.35,2024-11-25 22:45:02.641727,India
INV-100243,42794,Jacket,6,197.64,2024-06-19 05:25:31.641727,France
INV-100244,21918,Bluetooth Headphones,7,-105.18,2025-04-13 22:18:44.641727,United States
INV-100245,71820,Backpack,7,55.64,2024-04-08 15:24:06.641727,Canada
INV-100246,25894,Bluetooth Headphones,3,122.21,2024-09-12 22:18:45.641727,United States
INV-100247,40753,Jeans,2,61.98,2025-10-09 09:07:58.641727,France
INV-100248,98892,T-Shirt,7,19.28,2025-04-09 20:37:36.641727,Canada
INV-100249,,Jeans,4,30.98,2025-08-24 20:50:40.641727,Germany
INV-100250,32293,Smartphone,7,369.75,2025-04-15 01:06:33.641727,France
INV-100251,38605,Backpack,5,72.74,2025-05-08 20:51:58.641727,United Kingdom
INV-100252,55785,Jeans,2,26.73,2024-11-13 15:11:43.641727,United Kingdom
INV-100253,32048,Formal Shirt,3,23.14,2024-09-14 05:01:44.641727,India
INV-100254,97301,Formal Shirt,5,74.28,2024-10-14 02:21:01.641727,United Kingdom
INV-100255,10487,Wireless Mouse,3,49.31,2025-11-11 06:22:57.641727,United States
INV-100256,95324,Coffee Maker,2,30.63,2026-03-23 18:37:09.641727,France
INV-100257,58131,Casual Sneakers,2,74.64,2024-06-06 10:18:45.641727,United States
INV-100258,13445,Running Shoes,5,150.41,2025-05-04 18:52:43.641727,United Kingdom
INV-100259,20498,Bluetooth Headphones,1,87.2,2025-03-17 02:07:19.641727,United Kingdom
INV-100260,19274,Casual Sneakers,1,89.54,2025-05-23 00:03:26.641727,France
INV-100261,35874,Coffee Maker,1,98.82,2024-09-24 16:47:11.641727,Germany
INV-100262,39975,T-Shirt,6,13.46,2024-04-13 09:01:37.641727,Canada
INV-100263,67706,Casual Sneakers,1,113.53,2024-09-03 02:55:19.641727,United States
INV-100264,38007,Sunglasses,3,25.82,2024-08-18 10:19:30.641727,India
INV-100265,75259,Casual Sneakers,1,93.19,2024-05-15 21:47:53.641727,United States
INV-100266,36441,T-Shirt,5,12.59,2024-12-24 00:29:29.641727,United States
INV-100267,33710,Casual Sneakers,1,49.42,2025-08-19 22:32:50.641727,India
INV-100268,34782,Casual Sneakers,1,58.61,2026-03-13 20:27:26.641727,Canada
INV-100269,39627,Running Shoes,3,163.67,2025-07-31 11:13:11.641727,United States
INV-100270,85395,Running Shoes,5,77.02,2024-08-13 14:42:35.641727,Germany
INV-100271,32221,Casual Sneakers,1,71.45,2024-12-28 01:49:20.641727,Canada
INV-100272,34593,Running Shoes,4,72.26,2024-11-15 02:06:37.641727,United Kingdom
INV-100273,96119,Bluetooth Headphones,6,-126.94,2024-09-09 13:32:34.641727,United States
INV-100274,68836,Laptop,5,1390.9,2026-03-31 12:01:30.641727,France
INV-100275,27146,Jeans,6,91.05,2025-07-30 07:12:18.641727,Canada
INV-100276,88135,T-Shirt,3,25.94,2025-03-24 21:29:53.641727,France
INV-100277,26486,Jacket,7,145.02,2025-02-20 12:03:25.641727,Germany
INV-100278,24590,Backpack,2,65.28,2024-11-26 02:58:44.641727,India
INV-100279,50052,Backpack,5,20.91,2025-02-05 22:03:16.641727,United Kingdom
INV-100280,72213,Running Shoes,4,173.83,2025-07-14 18:26:34.641727,Canada
INV-100281,27037,Casual Sneakers,1,135.86,2026-02-14 06:46:57.641727,United Kingdom
INV-100282,,Formal Shirt,7,36.57,2025-04-04 23:41:26.641727,Italy
INV-100283,24103,Formal Shirt,5,57.7,2024-08-20 17:07:50.641727,France
INV-100284,80357,Bluetooth Headphones,2,60.24,2026-03-07 14:58:58.641727,United States
INV-100285,18629,Jeans,1,63.32,2024-11-23 15:00:54.641727,France
INV-100286,51798,Running Shoes,5,151.35,2024-06-07 10:03:07.641727,Australia
INV-100287,67614,T-Shirt,4,33.38,2025-05-09 22:12:36.641727,Germany
INV-100288,33901,Jacket,1,114.27,2025-11-05 18:52:27.641727,United Kingdom
INV-100289,65086,Casual Sneakers,7,110.88,2024-10-12 17:37:13.641727,United Kingdom
INV-100290,71977,Coffee Maker,6,137.46,2024-10-28 10:04:05.641727,Netherlands
INV-100291,68514,Running Shoes,4,82.64,2024-11-04 20:02:25.641727,Spain
INV-100292,45720,Sunglasses,2,81.05,2025-11-17 13:19:17.641727,Germany
INV-100293,79596,Running Shoes,2,136.93,2026-03-07 13:59:53.641727,United States
INV-100294,75848,Backpack,4,73.01,2025-12-17 12:32:06.641727,Italy
INV-100295,39371,Sunglasses,1,119.99,2024-09-19 18:34:57.641727,United States
INV-100296,76006,Desk Lamp,3,20.29,2025-12-18 14:51:33.641727,United Kingdom
INV-100297,92657,Coffee Maker,2,60.35,2024-11-19 17:18:10.641727,Germany
INV-100298,83502,Wireless Mouse,1,19.69,2025-12-31 08:59:00.641727,France
INV-100299,75987,Smartphone,1,396.71,2026-04-01 09:40:52.641727,India
INV-100300,78985,Wireless Mouse,3,36.08,2025-09-13 22:04:07.641727,Netherlands
INV-100301,82422,Casual Sneakers,3,128.46,2026-03-05 22:00:58.641727,United States
INV-100302,36020,Jacket,3,131.8,2024-07-20 15:23:43.641727,Canada
INV-100303,74885,Jacket,5,166.96,2025-07-29 17:04:53.641727,United States
INV-100304,27948,Backpack,4,45.11,2024-05-15 13:48:29.641727,India
INV-100305,42260,Jeans,2,47.38,2025-07-27 19:55:52.641727,United States
INV-100306,94106,Jeans,7,83.4,2024-12-12 10:40:54.641727,Australia
INV-100307,35472,Smartphone,6,872.77,2026-03-16 17:30:06.641727,Australia
INV-100308,85925,Formal Shirt,4,41.05,2025-04-04 02:05:55.641727,Australia
INV-100309,48026,Casual Sneakers,1,131.85,2025-10-16 06:26:36.641727,United Kingdom
INV-100310,28887,Jacket,7,139.76,2024-11-14 14:23:34.641727,Canada
INV-100311,18732,Jeans,6,38.18,2024-06-01 08:09:45.641727,Italy
INV-100312,59339,Formal Shirt,4,48.99,2025-10-01 11:56:24.641727,United States
INV-100313,50614,T-Shirt,2,26.22,2024-09-16 13:21:37.641727,France
INV-100314,56020,T-Shirt,1,17.91,2025-09-17 01:41:04.641727,Netherlands
INV-100315,13882,T-Shirt,3,-30.78,2025-03-12 21:06:14.641727,India
INV-100316,34130,T-Shirt,2,22.39,2026-03-18 04:35:31.641727,Canada
INV-100317,10355,Laptop,2,1435.53,2024-12-21 02:14:14.641727,Germany
INV-100318,37223,T-Shirt,3,31.19,2025-01-25 02:30:54.641727,Spain
INV-100319,93833,Sports Watch,1,251.28,2025-09-30 06:17:57.641727,United Kingdom
INV-100320,23707,Sunglasses,3,58.51,2025-11-02 06:25:24.641727,Germany
INV-100321,72039,Jacket,7,76.59,2024-07-08 12:03:24.641727,Canada
INV-100322,10520,T-Shirt,7,17.79,2025-09-30 18:17:53.641727,Netherlands
INV-100323,60565,Jacket,1,123.53,2025-04-01 10:29:54.641727,Canada
INV-100324,92883,Backpack,5,31.0,2026-03-30 11:21:58.641727,France
INV-100325,40698,Smartphone,7,808.43,2025-07-12 08:24:36.641727,Germany
INV-100326,27744,Coffee Maker,5,51.58,2025-10-24 10:12:50.641727,Italy
INV-100327,61347,Jacket,3,95.79,2024-12-14 17:41:52.641727,United Kingdom
INV-100328,35104,Smartphone,4,783.04,2024-10-31 16:42:01.641727,India
